title,price,price_text,area,location,bedrooms,city,link
Tôi Chủ Nhà Bán 08 căn :STU-1PN+ 2PN+3PN đi nước ngoài-Sẵn Nội Thất-HD thuê 9.5tr-Vinhome SMARTCITY,2.37,"2,37 tỷ",28 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-vinhomes-smart-city/cty-cp-ban-quy-t10-stu-2-2ty-1pn-2-8ty-1pn-3ty-2pn1-4ty-2pn-4ty6-3pn-5-3ty-city-pr44249887
Tôi Chủ Nhà Bán 08 căn :STU-1PN+ 2PN+3PN đi nước ngoài-Sẵn Nội Thất-HD thuê 9.5tr-Vinhome SMARTCITY,2.37,"2,37 tỷ",28 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,N/A
Tôi Chủ Nhà Bán 08 căn :STU-1PN+ 2PN+3PN đi nước ngoài-Sẵn Nội Thất-HD thuê 9.5tr-Vinhome SMARTCITY,2.37,"2,37 tỷ",28 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,N/A
Không có tiêu đề,2.37,"2,37 tỷ",28 m²,Hà Nội,1,Hà Nội,N/A
"2 tỷ/100m2 full thổ cư sổ đỏ, mặt tiền 6-8m tại CNC Hoà Lạc, gần chợ, QL21, trung tâm hành chính",2.0,2 tỷ,100 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-hoa-thach/hon-2-ty-100m2-full-tho-cu-so-do-mat-tien-6-8m-tai-cnc-lac-gan-cho-ql21-trung-tam-hanh-chinh-pr44214237
"2 tỷ/100m2 full thổ cư sổ đỏ, mặt tiền 6-8m tại CNC Hoà Lạc, gần chợ, QL21, trung tâm hành chính",2.0,2 tỷ,100 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,N/A
"2 tỷ/100m2 full thổ cư sổ đỏ, mặt tiền 6-8m tại CNC Hoà Lạc, gần chợ, QL21, trung tâm hành chính",2.0,2 tỷ,100 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,N/A
Không có tiêu đề,2.0,2 tỷ,100 m²,Hà Nội,N/A,Hà Nội,N/A
"Cạnh Đại Học Quốc Gia Hà Nội, FPT cách công nghệ cao Hòa Lạc 500m, giá 3tỷ DT 110m gần quốc lộ 21.",3.0,3 tỷ,110 m²,"·
Thạch Thất, Hà Nội",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-thach-hoa-1/canh-dai-hoc-quoc-gia-ha-noi-dai-hoc-fpt-cach-cong-nghe-cao-lac-500m-dt-110m-gan-quoc-lo-21-pr43794066
"Cạnh Đại Học Quốc Gia Hà Nội, FPT cách công nghệ cao Hòa Lạc 500m, giá 3tỷ DT 110m gần quốc lộ 21.",3.0,3 tỷ,110 m²,"·
Thạch Thất, Hà Nội",N/A,Hà Nội,N/A
"Cạnh Đại Học Quốc Gia Hà Nội, FPT cách công nghệ cao Hòa Lạc 500m, giá 3tỷ DT 110m gần quốc lộ 21.",3.0,3 tỷ,110 m²,"·
Thạch Thất, Hà Nội",N/A,Hà Nội,N/A
Không có tiêu đề,3.0,3 tỷ,110 m²,Hà Nội,N/A,Hà Nội,N/A
2.7 tỷ có ngay 100m2 full thổ cư tại Hoà Thạch Phú Cát. Alo e Phương để biết thông tin chi tiết,2.7,"2,7 tỷ",·100 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-21a-xa-hoa-thach/nhinh-2ty-co-ngay-100m-full-tho-cu-tai-phu-cat-alo-e-phuong-de-biet-thong-tin-chi-tiet-pr44279337
2.7 tỷ có ngay 100m2 full thổ cư tại Hoà Thạch Phú Cát. Alo e Phương để biết thông tin chi tiết,2.7,"2,7 tỷ",·100 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-21a-xa-hoa-thach/nhinh-2ty-co-ngay-100m-full-tho-cu-tai-phu-cat-alo-e-phuong-de-biet-thong-tin-chi-tiet-pr44279337
2.7 tỷ có ngay 100m2 full thổ cư tại Hoà Thạch Phú Cát. Alo e Phương để biết thông tin chi tiết,2.7,"2,7 tỷ",·100 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,N/A
2.7 tỷ có ngay 100m2 full thổ cư tại Hoà Thạch Phú Cát. Alo e Phương để biết thông tin chi tiết,2.7,"2,7 tỷ",·100 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,N/A
Không có tiêu đề,2.7,"2,7 tỷ",·100 m²,Hà Nội,N/A,Hà Nội,N/A
"Chính chủ gửi bán lô đất rẻ nhất Giao Tất, Gia Lâm!",2.3,"2,3 tỷ","·41,1 m²","Phú Sơn, Gia Lâm",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-giao-tat-a-xa-phu-son_1/chinh-chu-gui-ban-lo-re-nhat-gia-lam-pr43842235
"Chính chủ gửi bán lô đất rẻ nhất Giao Tất, Gia Lâm!",2.3,"2,3 tỷ","·41,1 m²","Phú Sơn, Gia Lâm",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-giao-tat-a-xa-phu-son_1/chinh-chu-gui-ban-lo-re-nhat-gia-lam-pr43842235
"Chính chủ gửi bán lô đất rẻ nhất Giao Tất, Gia Lâm!",2.3,"2,3 tỷ","·41,1 m²","Phú Sơn, Gia Lâm",N/A,Hà Nội,N/A
"Chính chủ gửi bán lô đất rẻ nhất Giao Tất, Gia Lâm!",2.3,"2,3 tỷ","·41,1 m²","Phú Sơn, Gia Lâm",N/A,Hà Nội,N/A
Không có tiêu đề,2.3,"2,3 tỷ","·41,1 m²",Hà Nội,N/A,Hà Nội,N/A
"Cắt lỗ sâu, 2.675 tỷ sở hữu ngay lô đất 72.3m2 full thổ tại Hạ Bằng, Hoà Lạc. Rẻ nhất thị trường",2.68,"2,68 tỷ","·72,3 m²","Hạ Bằng, Thạch Thất",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-ha-bang/cat-lo-sau-2-675-ty-so-huu-ngay-lo-72-3m2-full-tho-tai-hoa-lac-re-nt-thi-truong-pr43806038
"Cắt lỗ sâu, 2.675 tỷ sở hữu ngay lô đất 72.3m2 full thổ tại Hạ Bằng, Hoà Lạc. Rẻ nhất thị trường",2.68,"2,68 tỷ","·72,3 m²","Hạ Bằng, Thạch Thất",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-ha-bang/cat-lo-sau-2-675-ty-so-huu-ngay-lo-72-3m2-full-tho-tai-hoa-lac-re-nt-thi-truong-pr43806038
"Cắt lỗ sâu, 2.675 tỷ sở hữu ngay lô đất 72.3m2 full thổ tại Hạ Bằng, Hoà Lạc. Rẻ nhất thị trường",2.68,"2,68 tỷ","·72,3 m²","Hạ Bằng, Thạch Thất",N/A,Hà Nội,N/A
"Cắt lỗ sâu, 2.675 tỷ sở hữu ngay lô đất 72.3m2 full thổ tại Hạ Bằng, Hoà Lạc. Rẻ nhất thị trường",2.68,"2,68 tỷ","·72,3 m²","Hạ Bằng, Thạch Thất",N/A,Hà Nội,N/A
Không có tiêu đề,2.68,"2,68 tỷ","·72,3 m²",Hà Nội,N/A,Hà Nội,N/A
Đất xã Gia Lâm (Kiêu Kỵ cũ) giá 2.88 tỷ!,2.88,"2,88 tỷ","·50,5 m²","Kiêu Kỵ, Gia Lâm",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-kieu-ky/-gia-lam-cu-gia-duoi-3-ty-pr43831215
Đất xã Gia Lâm (Kiêu Kỵ cũ) giá 2.88 tỷ!,2.88,"2,88 tỷ","·50,5 m²","Kiêu Kỵ, Gia Lâm",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-kieu-ky/-gia-lam-cu-gia-duoi-3-ty-pr43831215
Đất xã Gia Lâm (Kiêu Kỵ cũ) giá 2.88 tỷ!,2.88,"2,88 tỷ","·50,5 m²","Kiêu Kỵ, Gia Lâm",N/A,Hà Nội,N/A
Đất xã Gia Lâm (Kiêu Kỵ cũ) giá 2.88 tỷ!,2.88,"2,88 tỷ","·50,5 m²","Kiêu Kỵ, Gia Lâm",N/A,Hà Nội,N/A
Không có tiêu đề,2.88,"2,88 tỷ","·50,5 m²",Hà Nội,N/A,Hà Nội,N/A
"Cần bán lô Tráng Việt, Mê Linh 47.9m2, dân cư đông đúc, chỉ 2.25 tỷ",2.25,"2,25 tỷ","·47,9 m²","Tráng Việt, Mê Linh",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-trang-viet/can-ban-lo-me-linh-52m-dan-cu-dong-duc-chi-hon-2-ty-pr43055207
"Cần bán lô Tráng Việt, Mê Linh 47.9m2, dân cư đông đúc, chỉ 2.25 tỷ",2.25,"2,25 tỷ","·47,9 m²","Tráng Việt, Mê Linh",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-trang-viet/can-ban-lo-me-linh-52m-dan-cu-dong-duc-chi-hon-2-ty-pr43055207
"Cần bán lô Tráng Việt, Mê Linh 47.9m2, dân cư đông đúc, chỉ 2.25 tỷ",2.25,"2,25 tỷ","·47,9 m²","Tráng Việt, Mê Linh",N/A,Hà Nội,N/A
"Cần bán lô Tráng Việt, Mê Linh 47.9m2, dân cư đông đúc, chỉ 2.25 tỷ",2.25,"2,25 tỷ","·47,9 m²","Tráng Việt, Mê Linh",N/A,Hà Nội,N/A
Không có tiêu đề,2.25,"2,25 tỷ","·47,9 m²",Hà Nội,N/A,Hà Nội,N/A
"Cần bán thửa đất sổ hồng công chứng giá chỉ 2,25 tỷ, đất tại Hòa Thạch, Quốc Oai, Hà Nội",2.25,"2,25 tỷ",·150 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-lien-xa-xa-hoa-thach/can-ban-4-thua-so-hong-cong-chung-gia-chi-hon-1-ty-1-lo-tai-quoc-oai-ha-noi-pr41209744
"Cần bán thửa đất sổ hồng công chứng giá chỉ 2,25 tỷ, đất tại Hòa Thạch, Quốc Oai, Hà Nội",2.25,"2,25 tỷ",·150 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-lien-xa-xa-hoa-thach/can-ban-4-thua-so-hong-cong-chung-gia-chi-hon-1-ty-1-lo-tai-quoc-oai-ha-noi-pr41209744
"Cần bán thửa đất sổ hồng công chứng giá chỉ 2,25 tỷ, đất tại Hòa Thạch, Quốc Oai, Hà Nội",2.25,"2,25 tỷ",·150 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,N/A
"Cần bán thửa đất sổ hồng công chứng giá chỉ 2,25 tỷ, đất tại Hòa Thạch, Quốc Oai, Hà Nội",2.25,"2,25 tỷ",·150 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,N/A
Không có tiêu đề,2.25,"2,25 tỷ",·150 m²,Hà Nội,N/A,Hà Nội,N/A
"Bán đất thổ cư tại Quang Minh, 2 tỷ, 37 m2, pháp lý đầy đủ, đẹp, nhiều tiện ích",2.1,"2,1 tỷ",·37 m²,"Quang Minh, Mê Linh",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-thi-tran-quang-minh/ban-tho-cu-tai-2-ty-37-m2-phap-ly-day-du-dep-nhieu-tien-ich-pr44190461
"Bán đất thổ cư tại Quang Minh, 2 tỷ, 37 m2, pháp lý đầy đủ, đẹp, nhiều tiện ích",2.1,"2,1 tỷ",·37 m²,"Quang Minh, Mê Linh",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-thi-tran-quang-minh/ban-tho-cu-tai-2-ty-37-m2-phap-ly-day-du-dep-nhieu-tien-ich-pr44190461
"Bán đất thổ cư tại Quang Minh, 2 tỷ, 37 m2, pháp lý đầy đủ, đẹp, nhiều tiện ích",2.1,"2,1 tỷ",·37 m²,"Quang Minh, Mê Linh",N/A,Hà Nội,N/A
"Bán đất thổ cư tại Quang Minh, 2 tỷ, 37 m2, pháp lý đầy đủ, đẹp, nhiều tiện ích",2.1,"2,1 tỷ",·37 m²,"Quang Minh, Mê Linh",N/A,Hà Nội,N/A
Không có tiêu đề,2.1,"2,1 tỷ",·37 m²,Hà Nội,N/A,Hà Nội,N/A
"Siêu phẩm lô đất 2 mặt đường trước, sau, áp phan ô tô tránh DT 165,3m đất ở 75m2 MT 10m giá 2,975tỷ",2.98,"2,98 tỷ","·165,3 m²","Phú Cát, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-phu-man-1-xa-phu-cat-1/sieu-pham-lo-2-mat-truoc-sau-ap-phan-o-to-tranh-dt-165-3m-o-75m-mt-10m-gia-2-975ty-pr44004029
"Siêu phẩm lô đất 2 mặt đường trước, sau, áp phan ô tô tránh DT 165,3m đất ở 75m2 MT 10m giá 2,975tỷ",2.98,"2,98 tỷ","·165,3 m²","Phú Cát, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-phu-man-1-xa-phu-cat-1/sieu-pham-lo-2-mat-truoc-sau-ap-phan-o-to-tranh-dt-165-3m-o-75m-mt-10m-gia-2-975ty-pr44004029
"Siêu phẩm lô đất 2 mặt đường trước, sau, áp phan ô tô tránh DT 165,3m đất ở 75m2 MT 10m giá 2,975tỷ",2.98,"2,98 tỷ","·165,3 m²","Phú Cát, Quốc Oai",N/A,Hà Nội,N/A
"Siêu phẩm lô đất 2 mặt đường trước, sau, áp phan ô tô tránh DT 165,3m đất ở 75m2 MT 10m giá 2,975tỷ",2.98,"2,98 tỷ","·165,3 m²","Phú Cát, Quốc Oai",N/A,Hà Nội,N/A
Không có tiêu đề,2.98,"2,98 tỷ","·165,3 m²",Hà Nội,N/A,Hà Nội,N/A
"22 triệu/m2 bán đất 100m2 gần đường 21A, Phú Cát, Quốc Oai, Hà Nội",2.2,"2,2 tỷ",·100 m²,"Phú Cát, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-21a-xa-phu-cat-1/22-trieu-m2-ban-100m2-gan-quoc-oai-ha-noi-pr44273085
"22 triệu/m2 bán đất 100m2 gần đường 21A, Phú Cát, Quốc Oai, Hà Nội",2.2,"2,2 tỷ",·100 m²,"Phú Cát, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-21a-xa-phu-cat-1/22-trieu-m2-ban-100m2-gan-quoc-oai-ha-noi-pr44273085
"22 triệu/m2 bán đất 100m2 gần đường 21A, Phú Cát, Quốc Oai, Hà Nội",2.2,"2,2 tỷ",·100 m²,"Phú Cát, Quốc Oai",N/A,Hà Nội,N/A
"22 triệu/m2 bán đất 100m2 gần đường 21A, Phú Cát, Quốc Oai, Hà Nội",2.2,"2,2 tỷ",·100 m²,"Phú Cát, Quốc Oai",N/A,Hà Nội,N/A
Không có tiêu đề,2.2,"2,2 tỷ",·100 m²,Hà Nội,N/A,Hà Nội,N/A
"Bán đất đấu giá 72m2 Nam Phương Tiến Xuân Mai Hà Nội, mặt tiền 6m, gần Quốc Lộ 21 giá đầu tư",2.9,"2,9 tỷ",·72 m²,"Nam Phương Tiến, Chương Mỹ",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-nam-phuong-tien/ban-dau-gia-72m2-xuan-mai-ha-noi-mat-6m-gan-quoc-lo-21-gia-dau-tu-pr44282418
"Bán đất đấu giá 72m2 Nam Phương Tiến Xuân Mai Hà Nội, mặt tiền 6m, gần Quốc Lộ 21 giá đầu tư",2.9,"2,9 tỷ",·72 m²,"Nam Phương Tiến, Chương Mỹ",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-nam-phuong-tien/ban-dau-gia-72m2-xuan-mai-ha-noi-mat-6m-gan-quoc-lo-21-gia-dau-tu-pr44282418
"Bán đất đấu giá 72m2 Nam Phương Tiến Xuân Mai Hà Nội, mặt tiền 6m, gần Quốc Lộ 21 giá đầu tư",2.9,"2,9 tỷ",·72 m²,"Nam Phương Tiến, Chương Mỹ",N/A,Hà Nội,N/A
"Bán đất đấu giá 72m2 Nam Phương Tiến Xuân Mai Hà Nội, mặt tiền 6m, gần Quốc Lộ 21 giá đầu tư",2.9,"2,9 tỷ",·72 m²,"Nam Phương Tiến, Chương Mỹ",N/A,Hà Nội,N/A
Không có tiêu đề,2.9,"2,9 tỷ",·72 m²,Hà Nội,N/A,Hà Nội,N/A
