id,name,price,rate,description,link_product
14,Smart Tivi QLED Samsung 4K 65 inch QA65Q80D,"20,490,000đ",4.8,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, NQ4 AI Gen2 Processor, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling, Motion Xcelerator 120Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '65""', 'Khoảng kích thước màn hình': 'Từ 65 - 74 inch', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Hệ điều hành': 'Tizen™ Smart TV', 'Các ứng dụng sẵn có': 'YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web', 'Điều khiển tivi bằng điện thoại': 'SmartThings', 'Công nghệ âm thanh': 'Object Tracking Sound, Q-Symphony, Adaptive Sound, 360 Audio', 'Kích thước có chân, đặt bàn': 'Ngang 144.65 cm - Cao 89.13 cm - Dày 28.57 cm'}",https://hc.com.vn/ords/product/tivi-samsung-qa65q80d
15,Smart Tivi QLED Samsung 4K 75 inch QA75Q80D,"31,990,000đ",4.9,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, NQ4 AI Gen2 Processor, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling, Motion Xcelerator 120Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '75""', 'Khoảng kích thước màn hình': '75 inch trở lên', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Hệ điều hành': 'Tizen™ Smart TV', 'Điều khiển tivi bằng điện thoại': 'SmartThings', 'Công nghệ âm thanh': 'Object Tracking Sound, Q-Symphony, Adaptive Sound, 360 Audio', 'Kích thước có chân, đặt bàn': 'Ngang 167.06 cm - Cao 101.89 cm - Dày 31.35 cm', 'Khối lượng có chân': '37.9 kg'}",https://hc.com.vn/ords/product/tivi-samsung-qa75q80d
16,Samsung Smart AI Tivi Mini LED 4K 65 inch QA65QN85D,"22,490,000đ",4.8,"{'Công nghệ hình ảnh': 'NQ4 AI Gen2 Processor | HDR 10+ (Adaptive/Gaming) | Neo Quantum HDR | 4K AI Upscaling | Wide Viewing Angle | Real Depth Enhancer | Quantum MatrixTechnology | Supreme UHD Dimming | Motion Xcelerator 120Hz | Smart Calibration (Basic) | Filmmaker Mode | Auto HDR Remastering | HDR Brightness Optimizer', 'Tần số quét thực': '100Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '65""', 'Khoảng kích thước màn hình': 'Từ 65 - 74 inch', 'Công nghệ màn hình': 'Mini LED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có (BT5.2)', 'Cổng LAN': 'Có', 'Wifi': 'Có (Wi-Fi 5)', 'Cổng HDMI': '4 cổng', 'Cổng xuất âm thanh': 'Cổng Optical (Digital Audio Out)', 'Cổng USB': '2 x USB-A'}",https://hc.com.vn/ords/product/tivi-samsung-qa65qn85d
17,Smart Tivi Samsung 4K 75 inch UA75AU7000KXXV,"15,990,000đ",4.8,"{'Công nghệ hình ảnh': 'Dynamic Crystal Color, Bộ xử lý hình ảnh Crystal 4K, HDR, UHD Dimming, Contrast Enhancer, Purcolor, Motion Xcelerator', 'Tần số quét thực': '60 Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '75""', 'Khoảng kích thước màn hình': '75 inch trở lên', 'Công nghệ màn hình': 'LED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Cổng HDMI': '3 cổng', 'Cổng USB': '1 cổng', 'Hệ điều hành': 'Tizen OS', 'Công nghệ âm thanh': 'Q Symphony: kết hợp loa TV và loa thanh giúp tối ưu công suất loa mạnh mẽ, Adaptive Sound: âm thanh được tinh chỉnh phù hợp với nội dung giải trí'}",https://hc.com.vn/ords/product/tivi-samsung-ua75au7000
18,Smart Tivi Samsung 32 inch UA32T4202,"4,690,000đ",4.8,"{'Công nghệ hình ảnh': 'Hyper Real Engine, Độ tương phản cao - Mega Contrast, Kiểm soát đèn nền Micro Dimming Pro, Nâng cấp độ tương phản Contrast Enhancer, PurColor', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '12 tháng', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '32""', 'Khoảng kích thước màn hình': 'Từ 32 - 43 inch', 'Công nghệ màn hình': 'LED', 'Độ phân giải': 'HD (1366 x 768 Pixel)', 'Cổng LAN': 'Có', 'Wifi': 'Có', 'Cổng HDMI': '2 cổng', 'Cổng xuất âm thanh': '1 cổng Optical (Digital Audio)', 'Cổng USB': '1 cổng USB A', 'Hệ điều hành': 'Tizen™', 'Các ứng dụng sẵn có': 'YouTube, Netflix, Google Play,Trình duyệt web,Prime Video'}",https://hc.com.vn/ords/product/tivi-samsung-ua32t4202
19,Smart Tivi Samsung 4K 43 inch UA43DU7000,"7,490,000đ",4.8,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, Mega Contrast, UHD Dimming, Contrast Enhancer, Motion Xcelerator, 4K Upscaling, Filmmaker Mode', 'Tần số quét thực': '50Hz', 'Bảo hành': '2 năm/Áp dụng từ ngày 18/3/2025', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '43""', 'Khoảng kích thước màn hình': 'Từ 32 - 43 inch', 'Công nghệ màn hình': 'LED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'BT5.2', 'Cổng LAN': 'Có', 'Wifi': 'Wi-Fi 5', 'Cổng HDMI': '3 cổng có 1 cổng HDMI eARC (ARC)', 'Cổng USB': '1 cổng USB A', 'Hệ điều hành': 'Tizen™ Smart TV', 'Bộ xử lý': 'Crystal Processor 4K'}",https://hc.com.vn/ords/product/tivi-samsung-ua43du7000
20,Smart Tivi Samsung 4K 50 inch UA50DU8000,"9,990,000đ",4.9,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, AI HDR Remastering, Mega Contrast, UHD Dimming, Contrast Enhancer, Motion Xcelerator, 4K Upscaling, Filmmaker Mode', 'Tần số quét thực': '50Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm/Áp dụng từ ngày 18/3/2025', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '50""', 'Khoảng kích thước màn hình': 'Từ 44 - 54 inch', 'Công nghệ màn hình': 'LED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'BT5.2', 'Cổng LAN': 'Có', 'Wifi': 'Wi-Fi 5', 'Cổng HDMI': '3 cổng có 1 cổng HDMI eARC (ARC)', 'Cổng USB': '2 cổng USB A', 'Hệ điều hành': 'Tizen™'}",https://hc.com.vn/ords/product/tivi-samsung-ua50du8000
21,Smart Tivi Khung Tranh The Frame QLED Samsung 4K 65 inch QA65LS03D,"21,490,000đ",5.0,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, Dual LED, Wide Viewing Angle, Supreme UHD Dimming, Real Depth Enhancer, Motion Xcelerator 120Hz, Smart Calibration, Picture Upscale, Filmmaker Mode', 'Tần số quét thực': '100Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '65""', 'Khoảng kích thước màn hình': 'Từ 65 - 74 inch', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'BT5.2', 'Cổng LAN': 'Có', 'Wifi': 'Wi-Fi 5', 'Cổng HDMI': '4 cổng HDMI', 'Cổng USB': '2 cổng USB A', 'Hệ điều hành': 'Tizen™ Smart TV'}",https://hc.com.vn/ords/product/tivi-samsung-qa65ls03d
22,Smart Tivi QLED Samsung 4K 43 inch QA43Q60D,"9,990,000đ",5.0,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, Quantum Processor Lite 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm/Áp dụng từ ngày 18/3/2025', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '43""', 'Khoảng kích thước màn hình': 'Từ 32 - 43 inch', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Hệ điều hành': 'Tizen™ Smart TV', 'Điều khiển tivi bằng điện thoại': 'SmartThings', 'Công nghệ âm thanh': 'Object Tracking Sound, Q-Symphony, Adaptive Sound', 'Tổng công suất loa': '20W', 'Kích thước có chân, đặt bàn': 'Ngang 96.55 cm - Cao 62.37 cm - Dày 18.76 cm'}",https://hc.com.vn/ords/product/tivi-samsung-qa43q60d
23,Smart Tivi QLED Samsung 4K 50 inch QA50Q60D,"11,990,000đ",5.0,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, Quantum Processor Lite 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm/Áp dụng từ ngày 18/3/2025', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '50""', 'Khoảng kích thước màn hình': 'Từ 44 - 54 inch', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Hệ điều hành': 'Tizen™ Smart TV', 'Các ứng dụng sẵn có': 'YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web', 'Điều khiển tivi bằng điện thoại': 'SmartThings', 'Công nghệ âm thanh': 'Object Tracking Sound, Q-Symphony, Adaptive Sound', 'Tổng công suất loa': '20W'}",https://hc.com.vn/ords/product/tivi-samsung-qa50q60d
24,Smart Tivi QLED Samsung 4K 55 inch QA55Q60D,"12,490,000đ",4.9,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, Quantum Processor Lite 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '55""', 'Khoảng kích thước màn hình': 'Từ 55 - 64 inch', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Hệ điều hành': 'Tizen™ Smart TV', 'Các ứng dụng sẵn có': 'YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web', 'Điều khiển tivi bằng điện thoại': 'SmartThings', 'Công nghệ âm thanh': 'Object Tracking Sound, Q-Symphony, Adaptive Sound', 'Tổng công suất loa': '20W'}",https://hc.com.vn/ords/product/tivi-samsung-qa55q60d
25,Smart Tivi QLED Samsung 4K 85 inch QA85Q60D,"31,990,000đ",4.8,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, Quantum Processor Lite 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '85""', 'Khoảng kích thước màn hình': '75 inch trở lên', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Hệ điều hành': 'Tizen™ Smart TV', 'Các ứng dụng sẵn có': 'YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web', 'Điều khiển tivi bằng điện thoại': 'SmartThings', 'Công nghệ âm thanh': 'Object Tracking Sound, Q-Symphony, Adaptive Sound', 'Tổng công suất loa': '20W'}",https://hc.com.vn/ords/product/tivi-samsung-qa85q60d
26,Smart Tivi QLED Samsung 4K 55 inch QA55Q70D,"14,490,000đ",5.0,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, Quantum Processor 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling, Motion Xcelerator 120Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '55""', 'Khoảng kích thước màn hình': 'Từ 55 - 64 inch', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Hệ điều hành': 'Tizen™ Smart TV', 'Các ứng dụng sẵn có': 'YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web', 'Điều khiển tivi bằng điện thoại': 'SmartThings', 'Công nghệ âm thanh': 'Object Tracking Sound, Q-Symphony, Adaptive Sound, 360 Audio', 'Tổng công suất loa': '20W'}",https://hc.com.vn/ords/product/tivi-samsung-qa55q70d
27,Smart Tivi Khung Tranh The Frame QLED Samsung 4K 55 inch QA55LS03D,"18,990,000đ",4.8,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, Dual LED, Wide Viewing Angle, Supreme UHD Dimming, Real Depth Enhancer, Motion Xcelerator 120Hz, Smart Calibration, Picture Upscale, Filmmaker Mode', 'Tần số quét thực': '100Hz', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '55""', 'Khoảng kích thước màn hình': 'Từ 55 - 64 inch', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'BT5.2', 'Cổng LAN': 'Có', 'Wifi': 'Wi-Fi 5', 'Cổng HDMI': '4 cổng HDMI', 'Cổng USB': '2 cổng USB A', 'Hệ điều hành': 'Tizen™ Smart TV', 'Điều khiển tivi bằng điện thoại': 'SmartThings'}",https://hc.com.vn/ords/product/tivi-samsung-qa55ls03d
28,Smart Tivi Samsung OLED 4K 77 inch QA77S95C,"59,990,000đ",4.8,"{'Công nghệ hình ảnh': 'Neural Quantum 4K, Ultra Viewing Angle, PANTONE Validated, Anti-Reflection, EyeComfort, Brightness/color Detection, OLED, Quantum Dot, Quantum HDR OLED plus, Motion Xcelerator Turbo Pro, Real Depth Enhancer', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '77 inch', 'Khoảng kích thước màn hình': '75 inch trở lên', 'Công nghệ màn hình': 'OLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Cổng HDMI': '4 cổng', 'Cổng xuất âm thanh': '1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)', 'Cổng USB': '2 cổng', 'Hệ điều hành': 'Tizen™', 'Các ứng dụng sẵn có': 'Youtube, Google Play, Netflix, Trình duyệt web'}",https://hc.com.vn/ords/product/tivi-samsung-qa77s95c
29,Samsung Smart AI Tivi OLED 4K 55 inch QA55S90D,"21,990,000đ",5.0,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, NQ4 AI Gen2 Processor, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K AI Upscaling, Motion Xcelerator 144Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '55""', 'Khoảng kích thước màn hình': 'Từ 55 - 64 inch', 'Công nghệ màn hình': 'OLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Hệ điều hành': 'Tizen™ Smart TV', 'Các ứng dụng sẵn có': 'YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web', 'Điều khiển tivi bằng điện thoại': 'SmartThings', 'Công nghệ âm thanh': 'Object Tracking Sound, Q-Symphony, Adaptive Sound, 360 Audio', 'Kích thước có chân, đặt bàn': 'Ngang 122.54 cm - Cao 77.36 cm - Dày 26.52 cm'}",https://hc.com.vn/ords/product/tivi-samsung-qa55s90d
