id,name,price,rate,link_product,Công nghệ hình ảnh,Tần số quét thực,Xuất xứ,Bảo hành,Loại Tivi,Kích thước màn hình,Khoảng kích thước màn hình,Công nghệ màn hình,Độ phân giải,Bluetooth,Cổng LAN,Wifi,Hệ điều hành,Remote thông minh,Điều khiển tivi bằng điện thoại,Cổng HDMI,Cổng USB,Cổng xuất âm thanh,Các ứng dụng sẵn có,Công nghệ âm thanh,Tổng công suất loa,"Kích thước có chân, đặt bàn",Khối lượng có chân,Bộ xử lý
0,Smart Tivi Samsung QLED 4K Vision AI 75 inch QA75Q8FA,"31,990,000",5.0,https://hc.com.vn/ords/product/tivi-samsung-qa75q8fa,"Công nghệ Quantum Dot, Công nghệ Quantum HDR+, Công nghệ đèn nền Dual LED, Công nghệ Motion Xcelerator, Công nghệ Supreme UHD Dimming, Công nghệ Color Booster Pro, AI Generative Wallpaper, EyeComfort, Smart Calibration",50 Hz,Việt Nam,2 năm,Smart Tivi,75,75 inch trở lên,QLED,Ultra HD 4K (3840 x 2160 Pixel),Bluetooth 5.3,Có,Có,Tizen OS,Điều khiển One Remote Control tích hợp Solar Cell Remote,SmartThings,,,,,,,,,
1,Smart Tivi Samsung 4K 55 inch UA55U8500F,"13,490,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-ua55u8500f,"HDR, HDR 10+, UHD Dimming, Motion Xcelerator, 4K Upscaling, Filmmaker Mode, Mega Contrast",50Hz,,2 năm,Smart Tivi,55,Từ 55 - 64 inch,LED,Ultra HD 4K (3840 x 2160 Pixel),BT5.3,Có,Wi-Fi 5,Tizen™ Smart TV,,AirPlay,3 cổng,1 cổng,,,,,,,
2,Smart Tivi Khung Tranh The Frame QLED Samsung 4K 75 inch QA75LS03D,"34,490,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-qa75ls03d,"HDR (High Dynamic Range), HDR 10+, Dual LED, Wide Viewing Angle, Supreme UHD Dimming, Real Depth Enhancer, Motion Xcelerator 120Hz, Smart Calibration, Picture Upscale, Filmmaker Mode",100Hz,Việt Nam,2 năm,Smart Tivi,75,75 inch trở lên,QLED,Ultra HD 4K (3840 x 2160 Pixel),BT5.2,Có,Wi-Fi 5,Tizen™ Smart TV,,,4 cổng HDMI,2 cổng USB A,,,,,,,
3,Smart Tivi Samsung 4K 65 inch UA65U8500F,"16,490,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-ua65u8500f,"HDR, HDR 10+, UHD Dimming, Motion Xcelerator, 4K Upscaling, Filmmaker Mode, Mega Contrast",50Hz,,2 năm,Smart Tivi,65,Từ 65 - 74 inch,LED,Ultra HD 4K (3840 x 2160 Pixel),BT5.3,Có,Wi-Fi 5,Tizen™ Smart TV,,AirPlay,3 cổng,1 cổng,,,,,,,
4,Samsung Smart AI Tivi Mini LED 4K 55 inch QA55QN85D,"18,990,000",5.0,https://hc.com.vn/ords/product/tivi-samsung-qa55qn85d,NQ4 AI Gen2 Processor | HDR 10+ (Adaptive/Gaming) | Neo Quantum HDR | 4K AI Upscaling | Wide Viewing Angle | Real Depth Enhancer | Quantum MatrixTechnology | Supreme UHD Dimming | Motion Xcelerator 120Hz | Smart Calibration (Basic) | Filmmaker Mode | Auto HDR Remastering | HDR Brightness Optimizer,100Hz,Việt Nam,2 năm,Smart Tivi,55,Từ 55 - 64 inch,Mini LED,Ultra HD 4K (3840 x 2160 Pixel),Có (BT5.2),Có,Có (Wi-Fi 5),,,,4 cổng,2 x USB-A,Cổng Optical (Digital Audio Out),,,,,,
5,Smart Tivi Samsung QLED Vision AI 4K 85 inch QA85Q7FA,"39,990,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-qa85q7fa,,,,,,,,,,,,,,,,,,,,,,,,
6,Smart Tivi Samsung QLED Vision AI 4K 65 inch QA65Q7FA,"17,490,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-qa65q7fa,,,,,,,,,,,,,,,,,,,,,,,,
7,Smart Tivi QLED Samsung 4K 65 inch QA65Q60D,"14,490,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-qa65q60d,"HDR (High Dynamic Range), HDR 10+, Quantum Processor Lite 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling",,Việt Nam,2 năm,Smart Tivi,65,Từ 65 - 74 inch,QLED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen™ Smart TV,,SmartThings,,,,"YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web","Object Tracking Sound, Q-Symphony, Adaptive Sound",20W,,,
8,Smart Tivi Samsung 4K 75 inch UA75DU8000,"17,490,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-ua75du8000,"HDR (High Dynamic Range), HDR 10+, AI HDR Remastering, Mega Contrast, UHD Dimming, Contrast Enhancer, Motion Xcelerator, 4K Upscaling, Filmmaker Mode",50Hz,Việt Nam,2 năm,Smart Tivi,75,75 inch trở lên,LED,Ultra HD 4K (3840 x 2160 Pixel),BT5.2,Có,Wi-Fi 5,Tizen™,,,3 cổng có 1 cổng HDMI eARC (ARC),2 cổng USB A,,,,,,,
9,Smart Tivi Samsung 4K 65 inch UA65DU8000,"13,490,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-ua65du8000,"HDR (High Dynamic Range), HDR 10+, AI HDR Remastering, Mega Contrast, UHD Dimming, Contrast Enhancer, Motion Xcelerator, 4K Upscaling, Filmmaker Mode",50Hz,Việt Nam,2 năm,Smart Tivi,65,Từ 65 - 74 inch,LED,Ultra HD 4K (3840 x 2160 Pixel),BT5.2,Có,Wi-Fi 5,Tizen™,,,3 cổng có 1 cổng HDMI eARC (ARC),2 cổng USB A,,,,,,,
10,Smart Tivi Samsung QLED Vision AI 4K 75 inch QA75Q7FA,"27,990,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-qa75q7fa,,,,,,,,,,,,,,,,,,,,,,,,
11,Samsung Smart AI Tivi Mini LED 4K 75 inch QA75QN85B,"25,990,000",5.0,https://hc.com.vn/ords/product/tivi-samsung-qa75qn85b,"Bộ xử lý Neo Quantum 4K, Quantum HDR 24X, Công nghệ kiểm soát đèn nền Quantum Matrix, Supreme UHD Dimming, Chuyển động mượt Motion Xcelerator Turbo+, Góc nhìn siêu rộng Ultra Viewing Angle, Chống chói Anti Reflection, Brightness/Color Detection, Adaptive Picture, Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort, Chống xé hình FreeSync Premium Pro, Real Game Enhancer+, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Super Ultra Wide Game View & Game Bar",120Hz,Việt Nam,2 năm,Smart Tivi,75,75 inch trở lên,Mini LED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen OS 6.0,,,4 cổng HDMI có 1 cổng HDMI eARC (ARC),2 cổng USB A,"1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)",,,,,,
12,Smart Tivi Samsung Crytal UHD 4K 75 inch UA75BU8000,"16,490,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-ua75bu8000,"Dynamic Crystal Color, Bộ xử lý Crystal 4K, Contrast Enhancer, HDR 10+, Motion Xcelerator, Auto Low Latency, UHD Dimming, Analog Clean View",60Hz,Việt Nam,2 năm,Smart Tivi,75,75 inch trở lên,LED,Ultra HD 4K (3840 x 2160 Pixel),Có,Có,Có,,,,3 cổng,2 cổng,"1 cổng Digital Audio Out (Optical), 1 cổng eARC (HDMI 2)",,,,,,
13,Samsung Smart AI Tivi Mini LED 4K 75 inch QA75QN85C,"28,990,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-qa75qn85c,"AI HDR Remastering, Brightness/Color Detection, Màu sắc chuẩn chứng nhận PANTONE, Quantum Mini LED, Real Depth Enhancer, Supreme UHD Dimming, Công nghệ kiểm soát đèn nền Quantum Matrix, Neo Quantum HDR, Chuyển động mượt Motion Xcelerator Turbo+, Chống xé hình FreeSync Premium Pro, Góc nhìn rộng Wide Viewing Angle, Super Ultra Wide Game View & Game Bar, Ambient Mode+, Chế độ Game Motion Plus, Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",120Hz,Việt Nam,2 năm,Smart Tivi,75,75 inch trở lên,Mini LED,Ultra HD 4K (3840 x 2160 Pixel),Có,Có,Có,,,,4 cổng HDMI có 1 cổng HDMI eARC (ARC),2 cổng USB A,"1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)",,,,,,
14,Smart Tivi QLED Samsung 4K 65 inch QA65Q80D,"20,490,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-qa65q80d,"HDR (High Dynamic Range), HDR 10+, NQ4 AI Gen2 Processor, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling, Motion Xcelerator 120Hz",,Việt Nam,2 năm,Smart Tivi,65,Từ 65 - 74 inch,QLED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen™ Smart TV,,SmartThings,,,,"YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web","Object Tracking Sound, Q-Symphony, Adaptive Sound, 360 Audio",,Ngang 144.65 cm - Cao 89.13 cm - Dày 28.57 cm,,
15,Smart Tivi QLED Samsung 4K 75 inch QA75Q80D,"31,990,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-qa75q80d,"HDR (High Dynamic Range), HDR 10+, NQ4 AI Gen2 Processor, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling, Motion Xcelerator 120Hz",,Việt Nam,2 năm,Smart Tivi,75,75 inch trở lên,QLED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen™ Smart TV,,SmartThings,,,,,"Object Tracking Sound, Q-Symphony, Adaptive Sound, 360 Audio",,Ngang 167.06 cm - Cao 101.89 cm - Dày 31.35 cm,37.9 kg,
16,Samsung Smart AI Tivi Mini LED 4K 65 inch QA65QN85D,"22,490,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-qa65qn85d,NQ4 AI Gen2 Processor | HDR 10+ (Adaptive/Gaming) | Neo Quantum HDR | 4K AI Upscaling | Wide Viewing Angle | Real Depth Enhancer | Quantum MatrixTechnology | Supreme UHD Dimming | Motion Xcelerator 120Hz | Smart Calibration (Basic) | Filmmaker Mode | Auto HDR Remastering | HDR Brightness Optimizer,100Hz,Việt Nam,2 năm,Smart Tivi,65,Từ 65 - 74 inch,Mini LED,Ultra HD 4K (3840 x 2160 Pixel),Có (BT5.2),Có,Có (Wi-Fi 5),,,,4 cổng,2 x USB-A,Cổng Optical (Digital Audio Out),,,,,,
17,Smart Tivi Samsung 4K 75 inch UA75AU7000KXXV,"15,990,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-ua75au7000,"Dynamic Crystal Color, Bộ xử lý hình ảnh Crystal 4K, HDR, UHD Dimming, Contrast Enhancer, Purcolor, Motion Xcelerator",60 Hz,Việt Nam,2 năm,Smart Tivi,75,75 inch trở lên,LED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen OS,,,3 cổng,1 cổng,,,"Q Symphony: kết hợp loa TV và loa thanh giúp tối ưu công suất loa mạnh mẽ, Adaptive Sound: âm thanh được tinh chỉnh phù hợp với nội dung giải trí",,,,
18,Smart Tivi Samsung 32 inch UA32T4202,"4,690,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-ua32t4202,"Hyper Real Engine, Độ tương phản cao - Mega Contrast, Kiểm soát đèn nền Micro Dimming Pro, Nâng cấp độ tương phản Contrast Enhancer, PurColor",,Việt Nam,12 tháng,Smart Tivi,32,Từ 32 - 43 inch,LED,HD (1366 x 768 Pixel),,Có,Có,Tizen™,,,2 cổng,1 cổng USB A,1 cổng Optical (Digital Audio),"YouTube, Netflix, Google Play,Trình duyệt web,Prime Video",,,,,
19,Smart Tivi Samsung 4K 43 inch UA43DU7000,"7,490,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-ua43du7000,"HDR (High Dynamic Range), HDR 10+, Mega Contrast, UHD Dimming, Contrast Enhancer, Motion Xcelerator, 4K Upscaling, Filmmaker Mode",50Hz,,2 năm/Áp dụng từ ngày 18/3/2025,Smart Tivi,43,Từ 32 - 43 inch,LED,Ultra HD 4K (3840 x 2160 Pixel),BT5.2,Có,Wi-Fi 5,Tizen™ Smart TV,,,3 cổng có 1 cổng HDMI eARC (ARC),1 cổng USB A,,,,,,,Crystal Processor 4K
20,Smart Tivi Samsung 4K 50 inch UA50DU8000,"9,990,000đ",4.9,https://hc.com.vn/ords/product/tivi-samsung-ua50du8000,"HDR (High Dynamic Range), HDR 10+, AI HDR Remastering, Mega Contrast, UHD Dimming, Contrast Enhancer, Motion Xcelerator, 4K Upscaling, Filmmaker Mode",50Hz,Việt Nam,2 năm/Áp dụng từ ngày 18/3/2025,Smart Tivi,50,Từ 44 - 54 inch,LED,Ultra HD 4K (3840 x 2160 Pixel),BT5.2,Có,Wi-Fi 5,Tizen™,,,3 cổng có 1 cổng HDMI eARC (ARC),2 cổng USB A,,,,,,,
21,Smart Tivi Khung Tranh The Frame QLED Samsung 4K 65 inch QA65LS03D,"21,490,000đ",5.0,https://hc.com.vn/ords/product/tivi-samsung-qa65ls03d,"HDR (High Dynamic Range), HDR 10+, Dual LED, Wide Viewing Angle, Supreme UHD Dimming, Real Depth Enhancer, Motion Xcelerator 120Hz, Smart Calibration, Picture Upscale, Filmmaker Mode",100Hz,Việt Nam,2 năm,Smart Tivi,65,Từ 65 - 74 inch,QLED,Ultra HD 4K (3840 x 2160 Pixel),BT5.2,Có,Wi-Fi 5,Tizen™ Smart TV,,,4 cổng HDMI,2 cổng USB A,,,,,,,
22,Smart Tivi QLED Samsung 4K 43 inch QA43Q60D,"9,990,000đ",5.0,https://hc.com.vn/ords/product/tivi-samsung-qa43q60d,"HDR (High Dynamic Range), HDR 10+, Quantum Processor Lite 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling",,Việt Nam,2 năm/Áp dụng từ ngày 18/3/2025,Smart Tivi,43,Từ 32 - 43 inch,QLED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen™ Smart TV,,SmartThings,,,,,"Object Tracking Sound, Q-Symphony, Adaptive Sound",20W,Ngang 96.55 cm - Cao 62.37 cm - Dày 18.76 cm,,
23,Smart Tivi QLED Samsung 4K 50 inch QA50Q60D,"11,990,000đ",5.0,https://hc.com.vn/ords/product/tivi-samsung-qa50q60d,"HDR (High Dynamic Range), HDR 10+, Quantum Processor Lite 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling",,Việt Nam,2 năm/Áp dụng từ ngày 18/3/2025,Smart Tivi,50,Từ 44 - 54 inch,QLED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen™ Smart TV,,SmartThings,,,,"YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web","Object Tracking Sound, Q-Symphony, Adaptive Sound",20W,,,
24,Smart Tivi QLED Samsung 4K 55 inch QA55Q60D,"12,490,000đ",4.9,https://hc.com.vn/ords/product/tivi-samsung-qa55q60d,"HDR (High Dynamic Range), HDR 10+, Quantum Processor Lite 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling",,Việt Nam,2 năm,Smart Tivi,55,Từ 55 - 64 inch,QLED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen™ Smart TV,,SmartThings,,,,"YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web","Object Tracking Sound, Q-Symphony, Adaptive Sound",20W,,,
25,Smart Tivi QLED Samsung 4K 85 inch QA85Q60D,"31,990,000đ",4.8,https://hc.com.vn/ords/product/tivi-samsung-qa85q60d,"HDR (High Dynamic Range), HDR 10+, Quantum Processor Lite 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling",,Việt Nam,2 năm,Smart Tivi,85,75 inch trở lên,QLED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen™ Smart TV,,SmartThings,,,,"YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web","Object Tracking Sound, Q-Symphony, Adaptive Sound",20W,,,
26,Smart Tivi QLED Samsung 4K 55 inch QA55Q70D,"14,490,000đ",5.0,https://hc.com.vn/ords/product/tivi-samsung-qa55q70d,"HDR (High Dynamic Range), HDR 10+, Quantum Processor 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling, Motion Xcelerator 120Hz",,Việt Nam,2 năm,Smart Tivi,55,Từ 55 - 64 inch,QLED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen™ Smart TV,,SmartThings,,,,"YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web","Object Tracking Sound, Q-Symphony, Adaptive Sound, 360 Audio",20W,,,
27,Smart Tivi Khung Tranh The Frame QLED Samsung 4K 55 inch QA55LS03D,"18,990,000đ",4.8,https://hc.com.vn/ords/product/tivi-samsung-qa55ls03d,"HDR (High Dynamic Range), HDR 10+, Dual LED, Wide Viewing Angle, Supreme UHD Dimming, Real Depth Enhancer, Motion Xcelerator 120Hz, Smart Calibration, Picture Upscale, Filmmaker Mode",100Hz,,2 năm,Smart Tivi,55,Từ 55 - 64 inch,QLED,Ultra HD 4K (3840 x 2160 Pixel),BT5.2,Có,Wi-Fi 5,Tizen™ Smart TV,,SmartThings,4 cổng HDMI,2 cổng USB A,,,,,,,
28,Smart Tivi Samsung OLED 4K 77 inch QA77S95C,"59,990,000đ",4.8,https://hc.com.vn/ords/product/tivi-samsung-qa77s95c,"Neural Quantum 4K, Ultra Viewing Angle, PANTONE Validated, Anti-Reflection, EyeComfort, Brightness/color Detection, OLED, Quantum Dot, Quantum HDR OLED plus, Motion Xcelerator Turbo Pro, Real Depth Enhancer",,Việt Nam,2 năm,Smart Tivi,77 inch,75 inch trở lên,OLED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen™,,,4 cổng,2 cổng,"1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Youtube, Google Play, Netflix, Trình duyệt web",,,,,
29,Samsung Smart AI Tivi OLED 4K 55 inch QA55S90D,"21,990,000đ",5.0,https://hc.com.vn/ords/product/tivi-samsung-qa55s90d,"HDR (High Dynamic Range), HDR 10+, NQ4 AI Gen2 Processor, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K AI Upscaling, Motion Xcelerator 144Hz",,Việt Nam,2 năm,Smart Tivi,55,Từ 55 - 64 inch,OLED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen™ Smart TV,,SmartThings,,,,"YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web","Object Tracking Sound, Q-Symphony, Adaptive Sound, 360 Audio",,Ngang 122.54 cm - Cao 77.36 cm - Dày 26.52 cm,,
