id,name,price,rate,link_product,Loại Tivi,Kích thước màn hình,Độ phân giải,Nguồn điện áp,Công suất,Công nghệ hình ảnh,Công nghệ âm thanh,Kết nối,Cổng HDMI,Cổng xuất âm thanh,USB,Bộ xử lý,Công suất loa,Tích hợp đầu thu KTS,Hệ điều hành,Tiện ích,Kích thước có chân đế,Kích thước không chân đế,Trọng lượng có chân đế,Trọng lượng không chân đế,Trọng lượng bao bì,Năm ra mắt,Sản xuất tại,Xuất xứ thương hiệu,Bảo hành,Bluetooth,Tần số quét,Kích thước đóng gói,Vesa,Màu sắc,Cảm biến Eco,Khoảng cách xem,Remote thông minh,Cổng AV,Phụ kiện
18,Smart TV QLED 4K Samsung 75 inch QA75Q7FAAKXXV,22.490.000,"4,0",https://meta.vn/tivi-samsung-qa75q7faakxxv-p111486,QLED,75 inch,4K,100V - 240V/50Hz - 60Hz,Mức tiêu thụ nguồn tối đa (225W),"100% Color Volume with Quantum Dot, Auto Low Latency Mode (ALLM), Color Booster Pro, EyeComfort, Game Motion Plus, Mega Contrast, Motion Xcelerator, Quantum HDR+, Smart Calibration Basic, Super Ultra Wide Game View & Game Bar, Supreme UHD Dimming","Adaptive Sound, OTS Lite, Q-Symphony","Bluetooth, LAN, Wifi",3 cổng,Cổng Optical,1 cổng,AI Q4,20W,,Tizen,"Apple AirPlay, Chiếu màn hình điện thoại lên tivi, Điều khiển TV bằng điện thoại, Multi View chia nhỏ màn hình tivi, Trợ lý ảo Bixby",167.75cm x 100.63cm x 32.5cm (Ngang x cao x dày),167.75cm x 96.24cm x 6.11cm (Ngang x cao x dày),"25,8kg","25,3kg",32kg,2025,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.3,50Hz,182.2cm x 110cm x 16cm (Ngang x cao x dày),,Đen,Có,,,,
19,Smart Tivi NEO QLED 4K Samsung 65 inch QA65QN90CAKXXV,29.770.000,"5,0",https://meta.vn/tivi-samsung-qa65qn90cakxxv-p92368,QLED,65 inch,4K,220V/50Hz,270W,"Adaptive Picture, Brightness/Color Detection, Contrast Enhancer, FilmMaker Mode, HDR, HDR10+, HLG, Motion Xcelerator Turbo+, Ultra Viewing Angle","Active Voice Amplifier, Adaptive Sound, Dolby Atmos, Object Tracking Sound, Q-Symphony","Bluetooth, LAN, Wifi",4 cổng,Optical (Digital Audio Out),2 cổng,,60W,DVB-T2,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Điều khiển TV bằng điện thoại, Multi View chia nhỏ màn hình tivi, Tìm kiếm bằng giọng nói, Trợ lý ảo Bixby",144.63cm x 89.13cm x 27.06cm (Ngang x cao x dày),144.63cm x 82.87cm x 2.59cm (Ngang x cao x dày),"27,5kg","24,2kg","35,4kg",2023,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,,120Hz,162.2cm x 93.5cm x 18.5cm (Ngang x cao x dày),,,,,,,
20,Smart Tivi Neo QLED Samsung 4K 65 inch QA65QN85CAKXXV,21.260.000,"5,0",https://meta.vn/tivi-samsung-qa65qn85cakxxv-p92929,QLED,65 inch,4K,220V/50Hz,250W,"100% Color Volume with Quantum Dot, AI Upscale, Ambient Mode+, Auto HDR Remastering, Brightness/Color Detection, FilmMaker Mode, FilmMaker Mode, FreeSync Premium Pro, Game Motion Plus, HDR 10+, HGiG, HLG, Motion Xcelerator Turbo+, Neo Quantum HDR, One Billion Color, Picture Clarity, Quantum Matrix Technology, Real Depth Enhancer, Smart Calibration Basic, Super Ultra Wide Game View, Supreme UHD Dimming, Wide Viewing Angle","Active Voice Amplifier, Adaptive Sound+, Bluetooth Audio, Buds Auto Switch, Dolby Atmos, Object Tracking Sound, Q-Symphony","LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,Neural Quantum 4K,60W,DVB-T2C,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Điều khiển TV bằng điện thoại, Tìm kiếm bằng giọng nói, Trợ lý ảo Bixby",144.63cm x 89.11cm x 28.57cm (Ngang x cao x dày),144.63cm x 82.87cm x 2.59cm (Ngang x cao x dày),"27,3kg","23,7kg","35,2kg",2023,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,120Hz,162.1cm x 94.7cm x 18.9cm (Ngang x cao x dày),,,,,Có,,
21,Smart Tivi Neo QLED Samsung 4K 55 inch QA55QN90CAKXXV,22.300.000,"5,0",https://meta.vn/tivi-samsung-qa55qn90cakxxv-p92978,QLED,55 inch,4K,220V/50Hz,230W,"AI Upscale, Brightness/Color Detection, Expert Calibration, FilmMaker Mode, HDR 10+, HDR+, HLG, Motion Xcelerator Turbo+, Picture Clarity, Quantum Matrix Technology, Real Depth Enhancer, Ultimate UHD Dimming, Ultra Viewing Angle","Active Voice Amplifier, Adaptive Sound+, Dolby Atmos, OTS+, Q-Symphony","Bluetooth, LAN, Wifi",4 cổng,Cổng Optical (Digital Audio Out),2 cổng,Neural Quantum 4K,60W,DVB-T2,Tizen OS,"Multi View chia nhỏ màn hình tivi, Tìm kiếm bằng giọng nói, Trợ lý ảo Bixby",122.74cm x 76.82cm x 23.70cm (Ngang x cao x dày),122.74cm x 70.56cm x 2.59cm (Ngang x cao x dày),"20,6kg","17,7kg",26.2Kg,2023,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,120Hz,,,,,,,,
22,Smart Tivi Samsung Neo QLED 4K 75 inch QA75Q80DAKXXV,35.990.000,"4,5",https://meta.vn/tivi-samsung-qa75q80dakxxv-p101386,QLED,75 inch,4K,100V - 240V/50Hz - 60Hz,Mức tiêu thụ nguồn tối đa (400W),"AI Upscale, Direct Full Array, FilmMaker Mode, HDR, HDR 10+, HDR Brightness Optimizer, Motion Xcelerator, NQ4 AI Gen2 Processor, Smart Calibration Basic, Supreme UHD Dimming, Wide Viewing Angle","360 Audio, Active Voice Amplifier Pro, Adaptive Sound Pro, Dolby Atmos, OTS Lite, Q-Symphony","Bluetooth, LAN, Wifi",4 cổng,Optical (Digital Audio Out),2 cổng,AI NQ4 thế hệ 2,40W,DVB-T2,Tizen,"Chiếu màn hình điện thoại lên tivi, Điều khiển bằng giọng nói, Multi View chia nhỏ màn hình tivi, Tìm kiếm bằng giọng nói",167.06cm x 101.89cm x 31.35cm (Ngang x cao x dày),167.06cm x 95.83cm x 4.71cm (Ngang x cao x dày),"37,9kg","32,7kg",47.6kg,2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,,100Hz,,,,,,,,
23,Smart TV Neo QLED 4K Samsung 55 inch QA55QN85DBKXXV,18.990.000,"5,0",https://meta.vn/tivi-samsung-qa55qn85dbkxxv-p101437,QLED,55 inch,4K,100V - 240V/50Hz - 60Hz,Tiêu thụ nguồn tối đa (200W),"4K AI Upscaling, Auto HDR Remastering, FilmMaker Mode, HDR 10+, HDR Brightness Optimizer, Motion Xcelerator, Neo Quantum HDR, Quantum Matrix Technology, Real Depth Enhancer, Smart Calibration Basic, Supreme UHD Dimming, Wide Viewing Angle","360 Audio, Active Voice Amplifier Pro, Adaptive Sound Pro, Dolby Atmos, OTS Lite, Q-Symphony","LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,AI NQ4 thế hệ 2,40W,,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Trợ lý ảo Bixby",122.76cm x 76.6cm x 24.39cm (Ngang x cao x dày),122.76cm x 70.64cm x 4.61cm (Ngang x cao x dày),"20,1kg","17,1kg","25,6kg",2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,100Hz,144.5cm x 82.8cm x 16.4cm (Ngang x cao x dày),,,,,,,
24,Smart Tivi QLED Samsung 4K 65 inch QA65Q70CAKXXV,15.450.000,"5,0",https://meta.vn/tivi-samsung-qa65q70cakxxv-p92988,QLED,65 inch,4K,220V/50Hz,250W,"Chống xé hình FreeSync Premium Pro, Dual LED, Motion Xcelerator Turbo+, Quantum 4K, Quantum Dot, Quantum HDR","Object Tracking Sound Lite, Q Symphony","Bluetooth, LAN, Wifi",4 cổng,"eARC, Optical",2 cổng,,20W,DVB-T2,Tizen OS 6.0,"Multi View chia nhỏ màn hình tivi, Tìm kiếm bằng giọng nói, Trợ lý ảo Bixby",145.17cm x 90.04cm x 28.56cm (Ngang x cao x dày),145.17cm x 83.18cm x 2.57cm (Ngang x cao x dày),"24,3kg","21,4kg",,2023,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,120Hz,,,,,,,,
25,Smart TV QLED 4K Samsung 65 inch QA65Q70DAKXXV,17.490.000,"5,0",https://meta.vn/tivi-samsung-qa65q70dakxxv-p101446,QLED,65 inch,4K,100V - 240V/50Hz - 60Hz,Tiêu thụ nguồn tối đa (250W),"100% Color Volume with Quantum Dot, 4K AI Upscaling, Dual LED, EyeComfort, Game Bar, HDR 10+, Màu sắc chuẩn chứng nhận PANTONE, Motion Xcelerator, Quantum HDR","Active Voice Amplifier Pro, Adaptive Sound Pro, Object Tracking Sound (OTS), Q-Symphony","LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,Quantum 4K,20W,,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Tìm kiếm bằng giọng nói, Trợ lý ảo Bixby",145.17cm x 90.04cm x 28.56cm (Ngang x cao x dày),145.17cm x 83.18cm x 2.57cm (Ngang x cao x dày),"24,3kg","21,4kg","31,3kg",2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,100Hz,162.3cm x 95cm x 20.5cm (Ngang x cao x dày),,,,,,,
26,Smart TV QLED 4K Samsung 55 inch QA55Q8FAAKXXV,16.490.000,"4,0",https://meta.vn/tivi-samsung-qa55q8faakxxv-p111505,QLED,55 inch,4K,100V - 240V/50Hz - 60Hz,200W,"4K Upscaling, AI Auto Game Mode, Auto Low Latency Mode (ALLM), Color Booster Pro, Dual LED, EyeComfort, FilmMaker Mode, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, HGiG, Motion Xcelerator, Quantum HDR+, Smart Calibration Basic, Super Ultra Wide Game View, Supreme UHD Dimming","Active Voice Amplifier, Adaptive Sound+, OTS Lite, Q-Symphony","Bluetooth, LAN, Wifi",3 cổng,"Cổng Optical, eARC (ARC)",2 cổng,AI Q4,20W,,Tizen,"Apple AirPlay, Chiếu màn hình điện thoại lên tivi, Điều khiển TV bằng điện thoại, Multi View chia nhỏ màn hình tivi, Trợ lý ảo Bixby",123.21cm x 76.81cm x 23.86cm (Ngang x cao x dày),123.21cm x 70.88cm x 2.57cm (Ngang x cao x dày),"14,3kg","13,9kg","19,1kg",2025,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.3,50Hz,136.9cm x 81.9cm x 14.2cm (Ngang x cao x dày),,Đen,Có,,,Cổng Composite,
27,Smart tivi Samsung Neo QLED 4K 55 inch QA55QN80FAKXXV Vision AI,19.990.000,"5,0",https://meta.vn/tivi-samsung-55-inch-qa55qn80fakxxv-p110268,QLED,55 inch,4K,220V/50Hz,Tiêu thụ nguồn tối đa (235W),"4K AI Upscaling, AI Auto Game Mode, Auto HDR Remastering, Auto Low Latency Mode (ALLM), Color Booster Pro, EyeComfort, FilmMaker Mode, FreeSync Premium Pro, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, HGiG, Motion Xcelerator 144Hz, Neo Quantum HDR, Quantum Matrix Technology Core, Real Depth Enhancer, Smart Calibration Basic, Super Ultra Wide Game View, Supreme UHD Dimming, VRR, Wide Viewing Angle","360 Audio, Active Voice Amplifier Pro, Adaptive Sound Pro, Dolby Atmos, OTS Lite, Q-Symphony, Surround Sound","Bluetooth, LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,AI NQ4 thế hệ 2,30W,DVB-T2C,Tizen,"Apple AirPlay, Chiếu màn hình điện thoại lên tivi, Multi View chia nhỏ màn hình tivi, Trợ lý ảo Bixby",122.76cm x 76.4cm x 24.74cm (Ngang x cao x dày),122.76cm x 70.62cm x 4.72cm (Ngang x cao x dày),"17,2kg","16,4kg","22,5kg",2025,Chính hãng,Hàn Quốc,Chính hãng,v5.3,100Hz,135.2cm x 81.3cm x 14.8cm (Ngang x cao x dày),,Đen,Có,,,,
28,Smart TV Samsung Neo QLED 4K 75 inch QA75QN90DAKXXV,53.490.000,"4,0",https://meta.vn/tivi-samsung-qa75qn90dakxxv-p101401,QLED,75 inch,4K,100V - 240V/50Hz - 60Hz,Tiêu thụ nguồn tối đa (305w),"100% Color Volume with Quantum Dot, 4K AI Upscaling, AI HDR Remastering, Expert Calibration, FilmMaker Mode, FilmMaker Mode, FreeSync Premium Pro, Game Motion Plus, HDR 10+, HGiG, HLG, Motion Xcelerator, Neo Quantum HDR+, Quantum Matrix Technology, Real Depth Enhancer Pro, Super Ultra Wide Game View, Ultimate UHD Dimming, Ultra Viewing Angle","Active Voice Amplifier, Adaptive Sound Pro, Bluetooth Audio, Dolby Atmos, OTS+, Q-Symphony, Surround Sound","LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,AI NQ4 thế hệ 2,60W,,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Trợ lý ảo Bixby",167cm x 101.72cm x 30.12cm (Ngang x cao x dày),167cm x 95.74cm x 2.77cm (Ngang x cao x dày),39.7kg,34.1kg,50.2kg,2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,,188.4cm x 111.8cm x 19.1cm (Ngang x cao x dày),,,,,,,
29,Smart TV Neo QLED 4K Samsung 75 inch QA75QN85DBKXXV,35.990.000,"5,0",https://meta.vn/tivi-samsung-qa75qn85dbkxxv-p101428,QLED,75 inch,4K,100V - 240V/50Hz - 60Hz,Tiêu thụ nguồn tối đa (335W),"4K AI Upscaling, Auto HDR Remastering, FilmMaker Mode, HDR 10+, HDR Brightness Optimizer, Motion Xcelerator, Neo Quantum HDR, Quantum Matrix Technology, Real Depth Enhancer, Smart Calibration Basic, Supreme UHD Dimming, Wide Viewing Angle","360 Audio, Active Voice Amplifier Pro, Adaptive Sound Pro, Dolby Atmos, OTS Lite, Q-Symphony","LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,AI NQ4 thế hệ 2,40W,,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Trợ lý ảo Bixby",167.02cm x 101.59cm x 27.49cm (Ngang x cao x dày),167.02cm x 95.82cm x 4.67cm (Ngang x cao x dày),"38,5kg","33,1kg","48,3kg",2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,100Hz,187.2cm x 110cm x 18.6cm (Ngang x cao x dày),,,,,,,
30,Smart TV Samsung QLED 4K 65 inch QA65Q80DAKXXV,23.990.000,"5,0",https://meta.vn/tivi-samsung-qa65q80dakxxv-p101392,QLED,65 inch,4K,100V - 240V/50Hz - 60Hz,Mức tiêu thụ tối đa (305w),"4K AI Upscaling, Direct Full Array, FilmMaker Mode, HDR 10+, HDR Brightness Optimizer, HDR+, Motion Xcelerator, NQ4 AI Gen2 Processor, Real Depth Enhancer, Smart Calibration Basic, Supreme UHD Dimming, Wide Viewing Angle","360 Audio, Active Voice Amplifier Pro, Adaptive Sound Pro, Dolby Atmos, OTS Lite, Q-Symphony","Bluetooth, LAN, Wifi",4 cổng,,2 cổng,,40W,DVB-T2,Tizen,"Chiếu màn hình điện thoại lên tivi, Điều khiển TV bằng điện thoại, Multi View chia nhỏ màn hình tivi, Tìm kiếm bằng giọng nói",144.65cm x 89.13cm x 28.57cm (Ngang x cao x dày),144.65cm x 82.93cm x 4.66cm (Ngang x cao x dày),"26,1kg","22,9kg",33.5kg,2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,,100Hz,,,,,,,,
31,Smart TV Samsung QLED 4K 55 inch QA55Q80DAKXXV,16.590.000,"4,5",https://meta.vn/tivi-samsung-qa55q80dakxxv-p101397,QLED,55 inch,4K,100V - 240V/50Hz - 60Hz,Tiêu thụ nguồn tối đa (255W),"4K AI Upscaling, Ambient Mode+, Direct Full Array, FilmMaker Mode, FreeSync Premium Pro, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, HGiG, Motion Xcelerator, Quantum HDR+, Real Depth Enhancer, Smart Calibration Basic, Super Ultra Wide Game View, Supreme UHD Dimming, Wide Viewing Angle","360 Audio, Active Voice Amplifier Pro, Adaptive Sound Pro, Dolby Atmos, OTS Lite, Q-Symphony, Surround Sound","LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,AI NQ4 thế hệ 2,40W,,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Trợ lý ảo Bixby",122.76cm x 76.8cm x 25.3cm (Ngang x cao x dày),122.76cm x 70.62cm x 4.72cm (Ngang x cao x dày),"19,8kg","17,1kg","24,4kg",2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,100Hz,144.5cm x 82.7cm x 16.8cm (Ngang x cao x dày),,,,,,,
32,Smart TV Samsung Neo QLED 4K 65 inch QA65QN90DAKXXV,42.990.000,"4,7",https://meta.vn/tivi-samsung-qa65qn90dakxxv-p101400,QLED,65 inch,4K,100V - 240V/50Hz - 60Hz,Tiêu thụ nguồn tối đa (295W),"100% Color Volume with Quantum Dot, 4K AI Upscaling, Auto HDR Remastering, Expert Calibration, FilmMaker Mode, FreeSync Premium Pro, Game Motion Plus, HDR 10+, HGiG, HLG, Motion Xcelerator, Neo Quantum HDR+, Quantum Matrix Technology, Real Depth Enhancer Pro, Super Ultra Wide Game View, Ultimate UHD Dimming, Ultra Viewing Angle","Active Voice Amplifier, Adaptive Sound Pro, Bluetooth Audio, Dolby Atmos, OTS+, Q-Symphony, Surround Sound","LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,AI NQ4 thế hệ 2,,,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Trợ lý ảo Bixby",144.63cm x 89.13cm x 27.06cm (Ngang x cao x dày),144.63cm x 82.87cm x 2.69cm (Ngang x cao x dày),"27,5kg","24,2kg","35,4kg",2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,100Hz,162.2cm x 93.5cm x 18.5cm (Ngang x cao x dày),,,,,,,
33,Smart tivi Samsung Neo QLED 4K 65 inch QA65QN80FAKXXV Vision AI,24.990.000,"4,4",https://meta.vn/tivi-samsung-65-inch-qa65qn80fakxxv-p110272,QLED,65 inch,4K,220V/50Hz,Mức tiêu thụ nguồn tối đa (280W),"4K AI Upscaling, AI Auto Game Mode, Auto HDR Remastering, Auto Low Latency Mode (ALLM), Color Booster Pro, EyeComfort, FilmMaker Mode, FreeSync Premium Pro, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, HGiG, Motion Xcelerator 144Hz, Neo Quantum HDR, Quantum Matrix Technology Core, Real Depth Enhancer, Smart Calibration Basic, Super Ultra Wide Game View, Supreme UHD Dimming, VRR, Wide Viewing Angle","360 Audio, Active Voice Amplifier Pro, Adaptive Sound Pro, Dolby Atmos, OTS Lite, Q-Symphony, Surround Sound","Bluetooth, LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,AI NQ4 thế hệ 2,30W,DVB-T2C,Tizen,"Chiếu màn hình điện thoại lên tivi, Multi View chia nhỏ màn hình tivi, Quản lí thông minh SmartThings, Samsung Daily+",144.65cm x 88.63cm x 27.94cm (Ngang x cao x dày),144.65cm x 82.93cm x 4.66cm (Ngang x cao x dày),"23,7kg","22,7kg","30,8kg",2025,Chính hãng,Hàn Quốc,Chính hãng,v5.3,100Hz,159.3cm x 93cm x 15.8cm (Ngang x cao x dày),,Đen,Có,,,,
34,Smart tivi Samsung Neo QLED 4K 75 inch QA75QN90FAKXXV Vision AI,60.990.000,"5,0",https://meta.vn/tivi-samsung-75-inch-qa75qn90fakxxv-p110334,QLED,75 inch,4K,100V - 240V/50Hz - 60Hz,Mức tiêu thụ nguồn tối đa (325W),"4K AI Upscaling Pro, AI Auto Game Mode, AI Motion Enhancer Pro, Auto HDR Remastering Pro, Auto Low Latency Mode (ALLM), Color Booster Pro, EyeComfort, FilmMaker Mode, FreeSync Premium Pro, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, HGiG, Motion Xcelerator 165Hz, Neo Quantum HDR+, Quantum Matrix Technology Plus, Real Depth Enhancer Pro, Smart Calibration Basic/Professional, Super Ultra Wide Game View, Ultimate UHD Dimming, VRR, Wide Viewing Angle","360 Audio, Active Voice Amplifier Pro, Adaptive Sound Pro, Dolby Atmos, OTS+, Q-Symphony, Surround Sound","Bluetooth, LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,AI NQ4 thế hệ 3,60W,DVB-T2C,Tizen,"Chiếu màn hình điện thoại lên tivi, Samsung Daily+",167cm x 101.72cm x 30.12cm (Ngang x cao x dày),167cm x 95.74cm x 2.77cm (Ngang x cao x dày),39.7kg,34.1kg,50.2kg,2025,Chính hãng,Hàn Quốc,Chính hãng,v5.3,100Hz,188.4cm x 111.8cm x 19.1cm (Ngang x cao x dày),,Đen,Có,,,,
35,Smart TV QLED 4K Samsung 50 inch QA50Q7FAAKXXV,12.190.000,"4,8",https://meta.vn/tivi-samsung-qa50q7faakxxv-p111449,QLED,50 inch,4K,100V - 240V/50Hz - 60Hz,Mức tiêu thụ nguồn tối đa (130W),"4K Upscaling, AI Auto Game Mode, Auto Low Latency Mode (ALLM), Color Booster Pro, FilmMaker Mode, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, HGiG, Mega Contrast, Motion Xcelerator, Quantum HDR, Smart Calibration Basic, Super Ultra Wide Game View, Supreme UHD Dimming","Adaptive Sound, OTS Lite, Q-Symphony","Bluetooth, LAN, Wifi",3 cổng,Cổng Optical,1 cổng,AI Q4,20W,,Tizen,"Apple AirPlay, Chiếu màn hình điện thoại lên tivi, Multi View chia nhỏ màn hình tivi, Trợ lý ảo Bixby",112.03cm x 69.4cm x 23.7cm (Ngang x cao x dày),112.03cm x 64.7cm x 6cm (Ngang x cao x dày),"9,5kg","9,2kg",14.3kg,2025,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.3,50Hz,125.5cm x 76.5cm x 12.7cm (Ngang x cao x dày),,Đen,"Có, Có",,,,
36,Smart tivi Samsung Neo QLED Vision AI 4K 75 inch QA75QN85FAKXXV,54.990.000,"4,8",https://meta.vn/tivi-samsung-qa75qn85fakxxv-p111194,QLED,75 inch,4K,100V - 240V/50Hz - 60Hz,Mức tiêu thụ nguồn tối đa (280W),"4K AI Upscaling, AI Auto Game Mode, Auto Game Mode (ALLM), Auto HDR Remastering, Color Booster Pro, Dynamic Black EQ, EyeComfort, FilmMaker Mode, FreeSync Premium Pro, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, HGiG, Motion Xcelerator 144Hz, Neo Quantum HDR+, Quantum Matrix Technology Plus, Real Depth Enhancer, Smart Calibration Basic, Super Ultra Wide Game View, Supreme UHD Dimming, VRR, Wide Viewing Angle","360 Audio, Active Voice Amplifier Pro, Adaptive Sound Pro, Dolby Atmos, OTS Lite, Q-Symphony, Surround Sound","Bluetooth, LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,AI NQ4 thế hệ 2,40W,,Tizen,"Apple AirPlay, Chiếu màn hình điện thoại lên tivi, Multi View chia nhỏ màn hình tivi",167.02cm x 101.29cm x 33.15cm (Ngang x cao x dày),167.02cm x 95.82cm x 4.67cm (Ngang x cao x dày),"33,9kg","32,2kg","42,8kg",2025,Chính hãng,Hàn Quốc,Chính hãng,v5.3,100Hz,182.2cm x 107.8cm x 16.9cm (Ngang x cao x dày),,Đen,Có,,,,Chân đế
