id,name,price,rate,link_product,Thương hiệu,Loại Tivi,Màn hình,Bộ xử lý,Độ phân giải,Hệ điều hành,Nơi sản xuất,Tiện ích,Ứng dụng phổ biến,Năm ra mắt,Cổng giao tiếp và kết nối,Kích thước có chân,Khối lượng có chân,Kích thước không chân
0,Tivi Qled SAMSUNG 4K 55 Inch QA55Q60D,11.990.000,4.8,https://pico.vn/tivi-qled-samsung-4k-55-inch-qa55q60d-QA55Q60D,SAMSUNG,Tivi QLED,55 inch,Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,"HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2",,,,,
1,Tivi Qled SAMSUNG 4K 65 Inch QA65Q60D,12.990.000,4.9,https://pico.vn/tivi-qled-samsung-4k-65-inch-qa65q60d-QA65Q60D,SAMSUNG,Tivi QLED,65 inch,Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,"HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2",,,,,
2,Tivi Qled SAMSUNG 4k 85 Inch QA85Q60D,38.990.000,4.8,https://pico.vn/tivi-qled-samsung-4k-85-inch-qa85q60d-QA85Q60D,SAMSUNG,Tivi QLED,85 inch,Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát,4K,,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,"HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2",,,,,
3,Tivi Qled SAMSUNG 4K 50 Inch QA50Q60D,11.990.000,4.8,https://pico.vn/tivi-qled-samsung-4k-50-inch-qa50q60d-QA50Q60D,SAMSUNG,Tivi QLED,50 inch,Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,"HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2",,,,,
4,Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q7FA,13.990.000,4.8,https://pico.vn/tivi-qled-samsung-qa50q7fa-50-inch-4k-ultra-hd-QA50Q7FA,SAMSUNG,Tivi QLED,50 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
5,Tivi Qled Samsung 55 Inch 4K Ultra HD QA55Q7FA,13.990.000,4.8,https://pico.vn/tivi-qled-samsung-qa55q7fa-55-inch-4k-ultra-hd-QA55Q7FA,SAMSUNG,Tivi QLED,55 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
6,Tivi Qled Samsung 65 Inch 4K Ultra QA65Q7FA,15.990.000,5.0,https://pico.vn/tivi-qled-samsung-qa65q7fa-65-inch-4k-ultra-hd-QA65Q7FA,SAMSUNG,Tivi QLED,65 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
7,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q7FA,22.990.000,4.9,https://pico.vn/tivi-qled-samsung-qa75q7fa-75-inch-4k-ultra-hd-QA75Q7FA,SAMSUNG,Tivi QLED,75 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
8,Tivi Qled Samsung 85 Inch 4K Ultra HD QA85Q7FA,37.990.000,4.9,https://pico.vn/tivi-qled-samsung-qa85q7fa-85-inch-4k-ultra-hd-QA85Q7FA,SAMSUNG,Tivi QLED,85 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
9,Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q8FA,14.990.000,4.8,https://pico.vn/tivi-qled-samsung-qa50q8fa-50-inch-4k-ultra-hd-QA50Q8FA,SAMSUNG,Tivi QLED,50 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kếtnối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3",,,
10,Tivi Qled Samsung 55 Inch 4K Ultra HD QA55Q8FA,15.490.000,4.8,https://pico.vn/tivi-qled-samsung-qa55q8fa-55-inch-4k-ultra-hd-QA55Q8FA,SAMSUNG,Tivi QLED,55 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kếtnối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3",,,
11,Tivi Qled Samsung 65 Inch 4K Ultra HD QA65Q8FA,17.490.000,5.0,https://pico.vn/tivi-qled-samsung-qa65q8fa-65-inch-4k-ultra-hd-QA65Q8FA,SAMSUNG,Tivi QLED,65 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3",,,
12,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q8FA,28.990.000,4.9,https://pico.vn/tivi-qled-samsung-qa75q8fa-75-inch-4k-ultra-hd-QA75Q8FA,SAMSUNG,Tivi QLED,75 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3",,,
13,Tivi Qled Samsung 85 Inch 4K Ultra HD QA85Q8FA,46.990.000,4.9,https://pico.vn/tivi-qled-samsung-qa85q8fa-85-inch-4k-ultra-hd-QA85Q8FA,SAMSUNG,Tivi QLED,85 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3",,,
14,Smart Tivi Qled Samsung 65 Inch 4K QA65Q60B [HÀNG TRƯNG BÀY],14.490.000,4.8,https://pico.vn/smart-tivi-qled-4k-65-inch-samsung-qa65q60bakxxv-00003932,SAMSUNG,Tivi QLED,65 inch,Quantum Processor 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,2022,,,,
15,Tivi Qled SAMSUNG 4K 75 Inch QA75Q60D,23.990.000,4.8,https://pico.vn/tivi-qled-samsung-4k-75-inch-qa75q60d-QA75Q60D,SAMSUNG,Tivi QLED,75 inch,Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát,4K,,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,"HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2",,,,,
16,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q60B,19.990.000,4.8,https://pico.vn/smart-tivi-qled-samsung-4k-75-inch-qa75q60bakxxv-FUFJ9747,SAMSUNG,"Smart Tivi, Tivi QLED",75 inch,Quantum Processor Lite 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,2022,,,,
17,Tivi Qled Samsung 55 Inch 4K Ultra HD QA55Q70C [HÀNG TRƯNG BÀY],12.990.000,4.8,https://pico.vn/tivi-qled-samsung-qa55q70cakxxv-55-inch-4k-ultra-hd-VNTI1238,SAMSUNG,Tivi QLED,55 inch,,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,,,Ngang x cao x dày (123.29cm x 77.83cm x 24.65cm),"17,6kg",Ngang x cao x dày (123.29cm x 70.87cm x 2.57cm)
18,Tivi Qled Samsung 65 Inch 4K Ultra HD QA65Q70C,19.990.000,5.0,https://pico.vn/smart-tivi-qled-4k-65-inch-samsung-qa65q70c-VQKN8317,SAMSUNG,"Smart Tivi, Tivi QLED",65 inch,Bộ xử lý Quantum 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Điều khiển bằng điện thoại",YouTube Netflix Clip TV FPT Play MyTV VieON Spotify Trình duyệt web Amazon Prime video Apple TV,2023,,,,
19,Tivi Qled Samsung 55 Inch 4K Ultra HD QA55Q80C,19.990.000,4.8,https://pico.vn/smart-tivi-qled-samsung-4k-55-inch-qa55q80cakxxv-HEIT7636,SAMSUNG,"Smart Tivi, Tivi QLED",55 inch,Neural Quantum 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,2023,,,,
20,Tivi Neo Qled Samsung 55 Inch 4K Ultra HD QA55QN90C,28.490.000,4.9,https://pico.vn/smart-tivi-neo-qled-4k-55-inch-samsung-qa55qn90c-PNLX7987,SAMSUNG,"Smart Tivi, Tivi QLED",55 inch,Bộ xử lý Neural Quantum 4K AI 20 nơ-ron,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,2023,,,,
21,Tivi Qled Samsung 43 Inch 4K Ultra HD QA43Q60B [HÀNG TRƯNG BÀY],8.990.000,4.8,https://pico.vn/tivi-qled-samsung-qa43q60bakxxv-43-4k-ultra-hd-DRXN3970,SAMSUNG,Tivi QLED,43 inch,,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,,,Ngang x cao x dày (96.55cm x 62.37cm x 18.76cm),"8,7kg",
22,Tivi Neo Qled Samsung 55 Inch 4K Ultra HD QA55QN85C [HÀNG TRƯNG BÀY],20.999.000,5.0,https://pico.vn/tivi-neo-qled-samsung-qa55qn85cakxxv-55-inch-4k-ultra-hd-FCER8778,SAMSUNG,"Smart Tivi, Tivi QLED",55 inch,,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,2023,,,,
23,Tivi Neo Qled Samsung 65 Inch 8K Ultra HD QA65QN800C,37.990.000,5.0,https://pico.vn/tivi-neo-qled-samsung-qa65qn800ckxxv-65-inch-8k-ultra-hd-XWMA6405,SAMSUNG,Tivi QLED,65 inch,,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,,,Ngang x cao x dày (144.37cm x 89.82cm x 26.79cm),,
24,Tivi Neo Qled Samsung 65 Inch 4K Ultra HD QA65QN85C [HÀNG TRƯNG BÀY],24.990.000,5.0,https://pico.vn/tivi-neo-qled-samsung-qa65qn85cakxxv-65-inch-4k-ultra-hd-ICGT8670,SAMSUNG,Tivi QLED,65 inch,Neural Quantum 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,,,Ngang x cao x dày (144.63cm x 89.11cm x 28.57cm),,
25,Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q80C,15.990.000,5.0,https://pico.vn/smart-tivi-samsung-50-inch-qled-4k-qa50q80cakxxv-SZZK2608,SAMSUNG,"Smart Tivi, Tivi QLED",50 inch,Neural Quantum 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chơi game trên tivi, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,2023,,,,
26,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q80C,28.990.000,5.0,https://pico.vn/tivi-qled-samsung-qa75q80cakxxv-75-inch-4k-ultra-hd-CAEM1004,SAMSUNG,Tivi QLED,75 inch,,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Trợ lý ảo Google Assistant",,2023,,Kích thước có chân đếNgang x cao x dày (167.06cm x 101.89cm x 31.35cm),,
27,Tivi Neo Qled Samsung 75 Inch 4K Ultra HD QA75QN85C [HÀNG TRƯNG BÀY],39.990.000,4.9,https://pico.vn/tivi-neo-qled-samsung-qa75qn85cakxxv-75-inch-4k-ultra-hd-RGFW6241,SAMSUNG,Tivi QLED,75 inch,Neural Quantum 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,2023,,,,
28,Tivi Neo Qled Samsung 75 Inch 4K Ultra HD QA75QN90C,39.990.000,5.0,https://pico.vn/tivi-neo-qled-samsung-qa75qn90cakxxv-75-inch-4k-ultra-hd-ZGAR5259,SAMSUNG,Tivi QLED,75 inch,Neural Quantum 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,2023,,,,
29,Tivi Neo Qled Samsung 85 Inch 4K Ultra HD QA85QN85C,59.900.000,4.9,https://pico.vn/tivi-neo-qled-samsung-qa85qn85cakxxv-85-inch-4k-ultra-hd-HSUH1124,SAMSUNG,Tivi QLED,85 inch,Neural Quantum 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,2023,,,,
30,Tivi Neo Qled Samsung 85 Inch 8K Ultra HD QA85QN900C,139.990.000,4.8,https://pico.vn/tivi-neo-qled-samsung-qa85qn900ckxxv-85-inch-8k-ultra-hd-IEAC8204,SAMSUNG,Tivi QLED,85 inch,Neural Quantum 8K,8K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,2023,,,,
31,Tivi Qled Samsung 98 Inch 4K Ultra HD QA98Q80C,89.990.000,5.0,https://pico.vn/tivi-qled-samsung-qa98q80cakxxv-98-inch-4k-ultra-hd-JMJZ9394,SAMSUNG,Tivi QLED,98 inch,Neural Quantum 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Trợ lý ảo Google Assistant",,2023,,Ngang x cao x dày (218.06cm x 130.68cm x 38.73cm),,
32,Tivi Qled Samsung 85 Inch 4K Ultra HD QA85Q70C,44.990.000,4.8,https://pico.vn/tivi-qled-samsung-qa85q70c-85-inch-4k-ultra-hd-QA85Q70C,SAMSUNG,Tivi QLED,85 inch,Bộ xử lý hình ảnh Quantum 4K: Bộ xử lý thông minh cho hình ảnh và âm thanh hoàn hảo,4K,TizenOS,Việt Nam,,YouTube Netflix Clip TV FPT Play MyTV VieON Spotify Trình duyệt web Amazon Prime video Apple TV,,,,,
33,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q70C,30.990.000,5.0,https://pico.vn/tivi-qled-samsung-qa75q70cakxxv-75-inch-4k-ultra-hd-YQBD9441,SAMSUNG,Tivi QLED,75 inch,Quantum 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Trợ lý ảo Google Assistant",,2023,,Ngang x cao x dày (167.75cm x 103.06cm x 32.06cm),,
34,Tivi QLed The Frame Samsung 50 Inch 4K Ultra HD QA50LS03B,10.990.000,4.9,https://pico.vn/tivi-qled-the-frame-samsung-qa50ls03bakxxv-50-inch-4k-ultra-hd-IULO1561,SAMSUNG,Tivi QLED,50 inch,Quantum 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Trợ lý ảo Google Assistant",,,,Ngang x cao x dày (112.41cm x 67.92cm x 22.78cm),"12,2kg",
35,Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q60B [HÀNG TRƯNG BÀY],11.990.000,4.9,https://pico.vn/tivi-qled-samsung-qa50q60bakxxv-50-4k-ultra-hd-NVEZ7126,SAMSUNG,Tivi QLED,50 inch,Quantum Processor Lite 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,,,,,
36,Tivi Qled Samsung 65 Inch 4K Ultra HD QA65Q80C,22.990.000,4.8,https://pico.vn/tivi-qled-samsung-qa65q80cakxxv-65-inch-4k-ultra-hd-IWHL7058,SAMSUNG,Tivi QLED,65 inch,,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,,,Ngang x cao x dày (145.09cm x 89.71cm x 29.02cm),,
37,Tivi QLed The Sero Samsung 43 Inch 4K QA43LS05B,16.990.000,5.0,https://pico.vn/tivi-qled-the-sero-samsung-qa43ls05bakxxv-43-inch-4k-MSEM7524,SAMSUNG,Tivi QLED,43 inch,Quantum 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chơi game trên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,,,Ngang x cao x dày (56.47cm x 120cm x 32.7cm),,
38,Tivi Neo Qled Samsung 65 Inch 4K Ultra HD QA65QN85B,32.490.000,5.0,https://pico.vn/tivi-neo-qled-samsung-qa65qn85bakxxv-65-4k-ultra-hd-BPEW3624,SAMSUNG,Tivi QLED,65 inch,Neo Quantum Processor 4K,4K,TizenOS,Việt Nam,"Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại",,,,Ngang x cao x dày (144.63cm x 89.11cm x 28.57cm) Kích thước không chân đế,,
39,Tivi Qled SAMSUNG 4K 43 Inch QA43Q60D,10.490.000,4.8,https://pico.vn/tivi-qled-samsung-4k-43-inch-qa43q60d-QA43Q60D,SAMSUNG,Tivi QLED,43 inch,Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,"HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2",,,,,
40,Tivi Qled Samsung 4K 85 Inch QA85Q80C,61.990.000,4.8,https://pico.vn/tivi-qled-samsung-qa85q80c-85-inch-4k-ultra-hd-QA85Q80C,SAMSUNG,Tivi QLED,85 inch,Bộ xử lý Neural Quantum 4K AI 20 nơ-ron,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2023,,Ngang 189.28 cm - Cao 114.38 cm - Dày 32.66 cm,,
41,Tivi Qled Samsung 43 Inch 4K Ultra HD QA43Q7FA,10.490.000,4.9,https://pico.vn/tivi-qled-samsung-qa43q7fa-43-inch-4k-ultra-hd-QA43Q7FA,SAMSUNG,Tivi QLED,43 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
42,[HTB] Tivi Qled Samsung 43 Inch 4K Ultra HD QA43Q7FA,12.790.000,4.9,https://pico.vn/tivi-qled-samsung-43-inch-4k-ultra-hd-qa43q7fa-TBQA43Q7FA,SAMSUNG,Tivi QLED,43 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
43,[HTB] Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q7FA,15.900.000,4.8,https://pico.vn/tivi-qled-samsung-50-inch-4k-ultra-hd-qa50q7fa-TBQA50Q7FA,SAMSUNG,Tivi QLED,50 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
44,[HTB] Tivi Qled Samsung 65 Inch 4K Ultra QA65Q7FA,19.990.000,4.8,https://pico.vn/tivi-qled-samsung-65-inch-4k-ultra-qa65q7fa-TBQA65Q7FA,SAMSUNG,Tivi QLED,65 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
45,[HTB] Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q7FA,30.990.000,5.0,https://pico.vn/tivi-qled-samsung-75-inch-4k-ultra-hd-qa75q7fa-TBQA75Q7FA,SAMSUNG,Tivi QLED,75 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
46,[HTB] Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q8FA,17.990.000,4.8,https://pico.vn/tivi-qled-samsung-50-inch-4k-ultra-hd-qa50q8fa-TBQA50Q8FA,SAMSUNG,Tivi QLED,50 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kếtnối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3",,,
47,[HTB] Tivi Qled Samsung 65 Inch 4K Ultra HD QA65Q8FA,23.990.000,4.8,https://pico.vn/tivi-qled-samsung-65-inch-4k-ultra-hd-qa65q8fa-TBQA65Q8FA,SAMSUNG,Tivi QLED,65 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3",,,
48,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q6FA,28.900.000,5.0,https://pico.vn/tivi-qled-samsung-75-inch-4k-ultra-hd-qa75q6fa-QA75Q6FA,SAMSUNG,"Smart Tivi, Tivi QLED",75 inch,Bộ xử lý Q4 Lite,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"USB-A, HDMI, Ethernet (LAN)
Bluetooth, Wi-Fi 5",1668.1 x 1005.9 x 280 mm,,
49,Tivi Qled Samsung 65 Inch 4K Ultra HD QA65Q6FA,21.000.000,4.9,https://pico.vn/tivi-qled-samsung-65-inch-4k-ultra-hd-qa65q6fa-QA65Q6FA,SAMSUNG,"Smart Tivi, Tivi QLED",65 inch,Bộ xử lý Q4 Lite,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"USB-A, HDMI, Ethernet (LAN)
Bluetooth, Wi-Fi 5",1444.1 x 882.2 x 222 mm,,
50,Tivi Qled Samsung 55 Inch 4K Ultra HD QA55Q6FA,16.600.000,4.8,https://pico.vn/tivi-qled-samsung-55-inch-4k-ultra-hd-qa55q6fa-QA55Q6FA,SAMSUNG,"Smart Tivi, Tivi QLED",55 inch,Bộ xử lý Q4 Lite,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"USB-A, HDMI, Ethernet (LAN)
Bluetooth, Wi-Fi 5",1224.6 x 759.1 x 199 mm,,
